"exchanges","market_mean","market_sd","spread_mean","spread_sd","trend_strength","linearity","curvature","spikiness","slope"
"USDTRY",21.5,3.56,0.0307,0.0847,0.999,2.14,0.682,6.46e-13,0.00612
"CADJPY",103,4.61,0.0218,0.0303,0.895,5.43,-1.07,1.11e-05,0.0146
"CHFJPY",150,7.5,0.034,0.0376,0.964,27.6,6.7,4.83e-05,0.0772
"EURPLN",4.65,0.126,0.00398,0.00446,0.977,-0.258,-0.29,4.63e-13,-0.000738
"AUDNZD",1.09,0.0222,0.000256,0.000385,0.931,-0.0504,-0.0234,7.21e-15,-0.000139
"AUDUSD",0.663,0.02,9.03e-05,8.98e-05,0.967,-0.112,-0.00449,9.27e-15,-0.000315
"EURCHF",0.977,0.0132,0.000193,0.000321,0.878,-0.0337,-0.015,6.9e-15,-9.57e-05
"EURGBP",0.873,0.0112,0.000161,0.000207,0.779,-0.0108,-0.00637,3.1e-15,-2.9e-05
"NZDUSD",0.612,0.0231,0.000121,0.00026,0.946,-0.074,0.00923,7.06e-15,-0.00021
"USDCAD",1.35,0.0182,0.000136,0.000154,0.95,0.0473,-0.0333,9.79e-15,0.000135
"USDCHF",0.931,0.0393,0.000148,0.000327,0.947,-0.0909,-0.0724,2.26e-14,-0.000258
"USDMXN",18.5,1.14,0.00512,0.00929,0.972,-3.46,0.597,5.11e-09,-0.00992
"USDZAR",18.1,0.698,0.0126,0.0162,0.97,4.25,-2.24,1.3e-08,0.012
"EURJPY",146,5.68,0.0203,0.0256,0.954,22.4,4.4,2.12e-05,0.0623
"EURUSD",1.04,0.0471,7.77e-05,7.78e-05,0.945,0.0711,0.0701,2.64e-14,0.000202
"GBPUSD",1.19,0.0568,0.000167,0.000185,0.949,0.0952,0.088,5.88e-14,0.000268
"USDJPY",139,5.84,0.0138,0.0239,0.929,11.9,-4.73,2.99e-05,0.0327
"AUDJPY",93,2.44,0.0169,0.0147,0.921,-6.66,-3.84,8.22e-06,-0.0193
"GBPJPY",167,7.46,0.0326,0.0277,0.95,27.3,6.16,4.94e-05,0.0758
